REPOSITORY_URL                                                                   FOLDER_NAME
================================================================================ ==================================================
https://github.com/livekit-examples/agent-starter-node.git                       agent-starter-node
https://github.com/livekit-examples/agent-starter-embed.git                      agent-starter-embed
https://github.com/livekit-examples/agent-starter-swift                          agent-starter-swift
https://github.com/livekit-examples/agent-starter-flutter                        agent-starter-flutter
https://github.com/livekit/agents-js                                             agents-js
https://github.com/livekit-examples/multi-agent-python.git                       multi-agent-python
https://github.com/livekit-examples/python-agents-examples.git                   python-agents-examples
https://github.com/livekit-examples/gemini-playground.git                        gemini-playground
https://github.com/livekit-examples/voice-agent-workshop.git                     voice-agent-workshop
https://github.com/livekit-examples/phone-assistant                              phone-assistant
https://github.com/livekit-examples/voice-pipeline-agent-python                  voice-pipeline-agent-python
https://github.com/livekit-examples/voice-pipeline-agent-node                    voice-pipeline-agent-node
https://github.com/livekit-examples/multimodal-agent-node                        multimodal-agent-node
https://github.com/livekit-examples/vision-demo                                  vision-demo
https://github.com/livekit-examples/multimodal-agent-python                      multimodal-agent-python
https://github.com/livekit-examples/livekit-sip-example.git                      livekit-sip-example
https://github.com/livekit-examples/live-translated-captioning.git               live-translated-captioning
https://github.com/livekit-examples/livekit-sip-agent-example.git                livekit-sip-agent-example
https://github.com/livekit-examples/agent-demos.git                              agent-demos
https://github.com/livekit-examples/vtuber.git                                   vtuber
https://github.com/livekit-examples/agent-deployment.git                         agent-deployment
https://github.com/livekit-examples/meet.git                                     meet
https://github.com/livekit-examples/realtime-room-monitor.git                    realtime-room-monitor
https://github.com/livekit/agents-playground                                     agents-playground
